Key;Type;Desc;English;Vietnamese [vi]
Story/RadioTower/Voiceline/Note2_2;Text;;"Sparrow took the boat. I can’t figure out why... Everything is just so secretive. ";Sparrow đã lấy mất thuyền. Tôi chẳng biết tại sao... Mọi thứ thật khó hiểu.
Story/RadioTower/Voiceline/Note2_3;Text;;"I mean, I don’t even know their real names! ";Ý tôi là, tôi thậm chí còn chẳng biết tên thật của họ!
Story/RadioTower/Voiceline/Note2_4;Text;;"I only know the team at Selene got a prototype working and they needed more people. ";Tôi chỉ biết nhóm ở Selene đã có một nguyên mẫu đang hoạt động và họ cần thêm người hỗ trợ.
Story/RadioTower/Voiceline/Note2_5;Text;;WE were supposed to be those people and Together we would find a way out of this mess. Somehow.;CHÚNG TÔI được cho là những người đó và cùng nhau, chúng tôi sẽ tìm ra cách thoát khỏi mớ hỗn độn này. Ừ thì bằng một cách nào đó.
Story/RadioTower/Voiceline/Note2_6;Text;;"Owl’s yelling up in the tower. Maybe the radio picked up something? Is it you, Sparrow?
";Owl thì đang hét lên trong tháp. Có lẽ đài phát thanh đã nhận được một tín hiệu gì đó? Có phải là anh không, Sparrow?
Story/RadioTower/Voiceline/Note3_1;Text;;"Errm… FEBRUARY(?) We’ve picked up a lot of signals. Maybe someone will come and help us. ";Ờm… THÁNG 2(?) Chúng tôi đã bắt được rất nhiều tín hiệu. Có lẽ ai đó sẽ đến và giúp chúng tôi.
Story/RadioTower/Voiceline/Note3_2;Text;;We’re not starving... yet.;Chúng tôi chưa đến mức… chết đói.
Story/RadioTower/Voiceline/Note3_3;Text;;The reactor at Selene might be the only chance we have against this endless ocean.;Lò phản ứng ở Selene có thể là cơ hội duy nhất chúng ta có để chống lại đại dương vô tận này.
Story/RadioTower/Voiceline/Note3_4;Text;;" You knew it, Sparrow. Owl thinks you betrayed us. ";Anh biết điều đó mà, Sparrow. Owl nghĩ anh đã phản bội chúng tôi.
Story/RadioTower/Voiceline/Note3_5;Text;;But you must have had a good reason for leaving us here.;Nhưng anh hẳn phải có một lý do chính đáng để bỏ chúng tôi ở đây.
Story/RadioTower/Voiceline/Note3_6;Text;;I hope you make it to Selene. I hope you finish the reactor. For all of us.;Tôi hy vọng anh đã đến được Selene. Tôi hy vọng anh sẽ hoàn thành lò phản ứng. Vì tất cả chúng ta.
Story/RadioTower/Voiceline/Note4_1;Text;;OWL’S RADIO NOTES:;GHI CHÚ CỦA OWL:
Story/RadioTower/Voiceline/Note4_2;Text;;22 Dec ~Distress call received. Balboa Island.;Ngày 22 tháng 12 ~Đã nhận được cuộc gọi khẩn cấp. Từ đảo Balboa.
Story/RadioTower/Voiceline/Note4_3;Text;;9 Jan ~Cuckoo won’t accept facts.;Ngày 9 tháng 1 ~Cuckoo sẽ không chấp nhận sự thật.
Story/RadioTower/Voiceline/Note4_4;Text;;2 Feb ~Gunshots in the distance. Tangaroa City?;Ngày 2 tháng 2 ~Tiếng súng ở đằng xa. Từ thành phố Tangaroa?
Story/RadioTower/Voiceline/Note4_5;Text;;14 Feb ~Sparrow’s comm. At Selene?;Ngày 14 tháng 2 ~Sparrow đã liên lạc. Từ Selene?
Story/RadioTower/Voiceline/Note4_6;Text;;6 Mar ~Another distress call. Varuna Point. Missing child?;Ngày 6 tháng 3 ~Một cuộc gọi khẩn cấp khác. Từ Varuna. Có đứa trẻ mất tích?
Story/RadioTower/Voiceline/Note4_7;Text;;16 Apr ~Rafters dreaming of UTOPIA. Foolish hope.;Ngày 16 tháng 4 ~Những kẻ di cư mơ về UTOPIA. Hy vọng ngu xuẩn.
Story/Tangaroa/GardenerDiary;Text;;"Oh no, no, no. The entire ecosystem is ruined! 

I’ve WARNED Captain Tulley about this for weeks now. My contract doesn’t allow me to tell anyone else and it’s eating me up inside. The banana plants won’t bear nearly enough fruit. Not to mention the infestations…

We’ll be starving by the end of the year. If not sooner!
~With Love, Johan the Gardener";"Ồ không, không, không. Toàn bộ hệ sinh thái đã bị phá huỷ!

Tôi đã CẢNH BÁO Thuyền trưởng Tulley về điều này hàng tuần nay rồi. Hợp đồng của tôi không cho phép tôi nói với bất kỳ ai khác và nó đang khiến lòng tôi rối bời. Mấy cây chuối gần như không đủ để cung cấp. Còn chưa kể đến sự xâm nhập…

Chúng tôi sẽ chết đói vào cuối năm nay. Nếu không sớm hơn!
~Với tất cả tình yêu, Johan người làm vườn"
Story/Tangaroa/RiotLog;Text;;"(Transcribed)
(Security) - “No sir, they haven’t done anything hostile. Yes, they’re still just chanting.”
(Captain Tulley) - *Muffled response.*
(Security) - ”Yes sir, I am armed. But if I may speak freely, we are able to use the water cannons if-”
(Captain Tulley) - *Muffled order.*
(Security) - ”Yes, sir. No, sir.” 
(Radio static is turned off as the security officer's voice shakes.)
(Security) - ”Tulley says shoot to wound..?”";"(Bản ghi âm)
(Bảo vệ) - “Không thưa ngài, họ không làm gì nguy hiểm cả. Vâng, họ vẫn chỉ đang tụng kinh thôi.”
(Đại úy Tulley) - *Phản ứng nghẹn ngào.*
(Bảo vệ) - “Vâng thưa ngài, tôi có vũ khí. Nhưng nếu tôi được phép nói, chúng ta có thể sử dụng vòi rồng nếu-”
(Đại úy Tulley) - *Lệnh bị bóp nghẹt.*
(Bảo vệ) - “Vâng, thưa ngài. Không, thưa ngài.""
(Vô tuyến bị tắt khi giọng nói của bảo vệ run lên.)
(Bảo vệ) - ”Tulley nói bị bắn trọng thương..?”"
Story/Tangaroa/Ruben1;Text;;"Captain Tulley ordered us to push the engines to their limits. We’re trying to outrun a fleet of rafts, or something. It’s going to overheat the reactor. I sent a message up the tower. Tulley doesn’t care.

I hope you’re faring better, Hanne. Much better.
~Ruben";"Thuyền trưởng Tulley ra lệnh cho bọn anh tăng động cơ đến giới hạn của chúng. Bọn anh đang cố chạy nhanh hơn một hạm đội bè, hay một thứ gì đó. Nhưng điều này sẽ làm lò phản ứng quá nóng. Anh đã gửi một cảnh báo lên tháp. Nhưng Tulley không quan tâm về nó lắm.

Anh hy vọng em ổn, Hanne. Như vậy tốt hơn nhiều.
~Ruben"
Story/Tangaroa/Ruben2;Text;;"The engines are done. People upstairs are already upset over the extreme rationing. Now we’re at the mercy of the waves.

And those rafts on the horizon are coming closer by the hour. I’m sealing up the reactor now. I don’t care what Captain Tulley says.

I really could’ve used you here, Hanne.
~Ruben";"Các động cơ đã hỏng. Những người ở tầng trên thì tỏ ra khó chịu. Bây giờ bọn anh đang ở giữa đại dương với bốn bề là sóng.

Và những chiếc bè đang đuổi mỗi lúc gần hơn. Bây giờ anh đang niêm phong lò phản ứng lại. Anh mặc kệ Đại úy Tulley nói gì.

Anh thực sự cần em ở đây, Hanne.
~Ruben"
Story/Tangaroa/Ruben3;Text;;"There’s screaming upstairs. After the Captain opened fire on the rafters, a damn riot broke out. Some supported Tulley’s orders. Others really did not.

A smaller raft made its way into the water entrance. But there was only a kid onboard. His parents were sick, I think. Poor boy isn’t saying much. 

Tangaroa’s a lost cause. We’re getting out of here.
~Ruben";"Có tiếng la hét trên lầu. Sau khi Thuyền trưởng nổ súng chỉ thiên, một cuộc bạo loạn chết tiệt đã nổ ra. Một vài người ủng hộ quyết định của Tulley. Một vài người khác thì không.

Một chiếc bè nhỏ đã tìm được vào lối vào bên trong. Nhưng chỉ có một đứa trẻ trên tàu. Bố mẹ đứa trẻ ấy có vẻ đang bệnh, anh nghĩ vậy. Và cậu bé tội nghiệp ấy không nói gì nhiều.

Tangaroa đã mất. Bọn anh sẽ rời khỏi đây.
~Ruben"
Story/Tangaroa/Ruben4;Text;;"Things have gone quiet. Security teams still go on patrols in their ridiculous golf carts trying to keep some semblance of order. I heard the rafters let loose some type of rat. Oh, and they strapped tasers on all the butler bots! It’s like some kind of dumb guerilla war upstairs.

We’re fixing up a boat, but there’s no engine. The raft-kid thinks we could take one of the golf cart engines. It’s not a bad idea.

Captain Tulley and the ‘investors’ are still up in the tower. I say leave them there to rot.
~Ruben";"Mọi thứ đã yên tĩnh trở lại. Các đội bảo vệ vẫn đi tuần tra trong những chiếc xe golf lố bịch của họ để cố gắng giữ trật tự. Anh nghe loáng thoáng mấy người di cư đã thả một số loại chuột gì đó lên. Ồ, và họ đã gắn súng điện lên tất cả các Robot quản gia! Nó giống như một kiểu chiến tranh du kích ở tầng trên.

Bọn anh đang cố sửa một chiếc thuyền, nhưng nó không có động cơ. Đứa trẻ di cư nghĩ bọn anh có thể lấy một trong những động cơ của xe golf. Đó quả là một ý tưởng không tồi.

Thuyền trưởng Tulley và 'đám chính trị gia' vẫn đang ở trên tháp. Anh nói cứ để mặc chúng chết ở đó.
~Ruben"
Story/Tangaroa/Ruben5;Text;;"The kid’s name is Detto. How someone his age was able to reconstruct an engine like that I’ll never know, but now we’ve got the boat working.

We’ll be gathering up a few more survivors before we head off. The rafters either hid up in the apartments or left to sea. Most of them seemed sick. No wonder they were so desperate. 

We need to hurry. Those large rats that came with the rafters are aggressive. I say let them chew Tangaroa into pieces. I’m coming for you, Hanne. Remember the place we heard about? The sanctuary? We’ll meet there. I know it.

I’ll see you there. Utopia.
~Ruben";"Đứa trẻ kia tên là Detto. Làm thế nào mà một đứa trẻ ở độ tuổi của nó lại có thể chế tạo một động cơ như vậy, dù sao thì bây giờ con thuyền đã hoạt động.

Anh sẽ tập hợp thêm vài người sống sót trước khi khởi hành. Những người di cư trốn trong các căn hộ hoặc bỏ ra biển. Hầu hết trong số họ có vẻ bị bệnh. Không có gì ngạc nhiên khi họ rất tuyệt vọng.

Bọn anh cần phải nhanh lên. Những con chuột lớn kia rất hung dữ. Anh nói hãy để chúng nhai Tangaroa thành từng mảnh. Anh sẽ đến vì em, Hanne. Nhớ nơi chúng ta đã nói với nhau chứ? Các khu bảo tồn? Chúng ta sẽ gặp nhau ở đó. Anh tin điều đó.

Anh sẽ gặp em ở đó. Utopia.
~Ruben
"
Story/Tangaroa/TulleyNote;Text;;"My name is James Tulley. This is my final message. Tangaroa City was built on a purely theoretical basis, using engines that had barely been tested, held together by the sweat and tears of our crew. But we were never sustainable. I should have accepted that months ago.

When the rafters arrived I could have let them starve with us. But I didn't. The only right choice was to abandon Tangaroa to the waves.

Now I will stay here, trapped in the cockpit with two dozen idiots who used to run the world. Don’t worry. We’ll pay for our sins before the end.
~Captain Tulley";"Tên tôi là James Tulley. Đây là thông điệp cuối cùng của tôi. Thành phố Tangaroa được xây dựng trên cơ sở lý thuyết thuần túy, sử dụng những động cơ hầu như chưa được thử nghiệm, được kết hợp bởi mồ hôi và nước mắt của cả phi hành đoàn chúng tôi. Chúng tôi biết nó không mãi mãi bền vững. Lẽ ra tôi nên chấp nhận điều đó từ nhiều tháng trước.

Khi những người di cư đến, tôi có thể để họ chết đói với chúng tôi. Nhưng tôi đã không làm như vậy. Lựa chọn duy nhất là bỏ mặc Tangaroa cho đại dương nuốt chửng.

Bây giờ tôi sẽ ở lại đây, mắc kẹt trong buồng lái với hai chục tên ngốc đã từng điều hành thế giới. Đừng lo lắng. Chúng tôi sẽ trả giá cho tội lỗi của chúng tôi trước ngày tận thế.
~ Thuyền trưởng Tulley"
Story/Tangaroa/Voiceline/GardenerDiary_1;Text;;"Oh no, no, no. The entire ecosystem is ruined! ";Ồ không, không, không. Toàn bộ hệ sinh thái đã bị phá huỷ!
Story/Tangaroa/Voiceline/GardenerDiary_2;Text;;I’ve WARNED Captain Tulley about this for weeks now.;Tôi đã CẢNH BÁO Thuyền trưởng Tulley về điều này hàng tuần nay rồi.
Story/Tangaroa/Voiceline/GardenerDiary_3;Text;;My contract doesn’t allow me to tell anyone else and it’s eating me up inside.;Hợp đồng của tôi không cho phép tôi nói với bất kỳ ai khác và nó đang khiến lòng tôi rối bời.
Story/Tangaroa/Voiceline/GardenerDiary_4;Text;;The banana plants won’t bear nearly enough fruit. Not to mention the infestations…;Mấy cây chuối gần như không đủ để cung cấp. Còn chưa kể đến sự xâm nhập…
Story/Tangaroa/Voiceline/GardenerDiary_5;Text;;We’ll be starving by the end of the year. If not sooner!;Chúng tôi sẽ chết đói vào cuối năm nay. Nếu không sớm hơn!
Story/Tangaroa/Voiceline/RiotLog_1;Text;;(Security) - “No sir, they haven’t done anything hostile. Yes, they’re still just chanting.”;(Bảo vệ) - “Không thưa ngài, họ không làm gì nguy hiểm cả. Vâng, họ vẫn chỉ đang tụng kinh thôi.”
Story/Tangaroa/Voiceline/RiotLog_2;Text;;(Captain Tulley) - *Muffled response.*;(Đại úy Tulley) - *Phản ứng nghẹn ngào.*
Story/Tangaroa/Voiceline/RiotLog_3;Text;;(Security) - ”Yes sir, I am armed. But if I may speak freely, we are able to use the water cannons if-”;(Bảo vệ) - “Vâng thưa ngài, tôi có vũ khí. Nhưng nếu tôi được phép nói, chúng ta có thể sử dụng vòi rồng nếu-”
Story/Tangaroa/Voiceline/RiotLog_4;Text;;(Captain Tulley) - *Muffled order.*;(Đại úy Tulley) - *Lệnh bị bóp nghẹt.*
Story/Tangaroa/Voiceline/RiotLog_5;Text;;"(Security) - ”Yes, sir. No, sir.” ";"(Bảo vệ) - “Vâng, thưa ngài. Không, thưa ngài."""
Story/Tangaroa/Voiceline/RiotLog_6;Text;;(Security) - ”Tulley says shoot to wound..?”;(Bảo vệ) - ”Tulley nói bị bắn trọng thương..?”
Story/Tangaroa/Voiceline/Ruben1_1;Text;;Captain Tulley ordered us to push the engines to their limits.;Thuyền trưởng Tulley ra lệnh cho bọn anh tăng động cơ đến giới hạn của chúng.
Story/Tangaroa/Voiceline/Ruben1_2;Text;;We’re trying to outrun a fleet of rafts, or something. It’s going to overheat the reactor.;Bọn anh đang cố chạy nhanh hơn một hạm đội bè, hay một thứ gì đó. Nhưng điều này sẽ làm lò phản ứng quá nóng.
Story/Tangaroa/Voiceline/Ruben1_3;Text;;I sent a message up the tower. Tulley doesn’t care.;Anh đã gửi một cảnh báo lên tháp. Nhưng Tulley không quan tâm về nó lắm.
Story/Tangaroa/Voiceline/Ruben1_4;Text;;I hope you’re faring better, Hanne. Much better.;Anh hy vọng em ổn, Hanne. Như vậy tốt hơn nhiều.
Story/Tangaroa/Voiceline/Ruben2_1;Text;;The engines are done. People upstairs are already upset over the extreme rationing.;Các động cơ đã hỏng. Những người ở tầng trên thì tỏ ra khó chịu.
Story/Tangaroa/Voiceline/Ruben2_2;Text;;Now we’re at the mercy of the waves.;Bây giờ bọn anh đang ở giữa đại dương với bốn bề là sóng.
Story/Tangaroa/Voiceline/Ruben2_3;Text;;"And those rafts on the horizon are coming closer by the hour. I’m sealing up the reactor now. ";Và những chiếc bè đang đuổi mỗi lúc gần hơn. Bây giờ anh đang niêm phong lò phản ứng lại.
Story/Tangaroa/Voiceline/Ruben2_4;Text;;I don’t care what Captain Tulley says. I really could’ve used you here, Hanne.;Anh mặc kệ Đại úy Tulley nói gì. Anh thực sự cần em ở đây, Hanne.
Story/Tangaroa/Voiceline/Ruben3_1;Text;;There’s screaming upstairs. After the Captain opened fire on the rafters, a damn riot broke out.;Có tiếng la hét trên lầu. Sau khi Thuyền trưởng nổ súng chỉ thiên, một cuộc bạo loạn chết tiệt đã nổ ra.
Story/Tangaroa/Voiceline/Ruben3_2;Text;;Some supported Tulley’s orders. Others really did not.;Một vài người ủng hộ quyết định của Tulley. Một vài người khác thì không.
Story/Tangaroa/Voiceline/Ruben3_3;Text;;A smaller raft made its way into the water entrance. But there was only a kid onboard.;Một chiếc bè nhỏ đã tìm được vào lối vào bên trong. Nhưng chỉ có một đứa trẻ trên tàu.
Story/Tangaroa/Voiceline/Ruben3_4;Text;;"His parents were sick, I think. Poor boy isn’t saying much. ";Bố mẹ đứa trẻ ấy có vẻ đang bệnh, anh nghĩ vậy. Và cậu bé tội nghiệp ấy không nói gì nhiều.
Story/Tangaroa/Voiceline/Ruben3_5;Text;;Tangaroa’s a lost cause. We’re getting out of here.;Tangaroa đã mất. Bọn anh sẽ rời khỏi đây.
Story/Tangaroa/Voiceline/Ruben4_1;Text;;Things have gone quiet.;Mọi thứ đã yên tĩnh trở lại.
Story/Tangaroa/Voiceline/Ruben4_2;Text;;"Security teams still go on patrols in their ridiculous golf carts trying to keep some semblance of order. ";Các đội bảo vệ vẫn đi tuần tra trong những chiếc xe golf lố bịch của họ để cố gắng giữ trật tự.
Story/Tangaroa/Voiceline/Ruben4_3;Text;;"I heard the rafters let loose some type of rat. Oh, and they strapped tasers on all the butler bots! ";"Anh nghe loáng thoáng mấy người di cư đã thả một số loại chuột gì đó lên. Ồ, và họ đã gắn súng điện lên tất cả các Robot quản gia! "
Story/Tangaroa/Voiceline/Ruben4_4;Text;;It’s like some kind of dumb guerilla war upstairs.;Nó giống như một kiểu chiến tranh du kích ở tầng trên.
Story/Tangaroa/Voiceline/Ruben4_5;Text;;We’re fixing up a boat, but there’s no engine.;Bọn anh đang cố sửa một chiếc thuyền, nhưng nó không có động cơ.
Story/Tangaroa/Voiceline/Ruben4_6;Text;;The raft-kid thinks we could take one of the golf cart engines. It’s not a bad idea.;Đứa trẻ di cư nghĩ bọn anh có thể lấy một trong những động cơ của xe golf. Đó quả là một ý tưởng không tồi.
Story/Tangaroa/Voiceline/Ruben4_7;Text;;Captain Tulley and the ‘investors’ are still up in the tower. I say leave them there to rot.;Thuyền trưởng Tulley và 'đám chính trị gia' vẫn đang ở trên tháp. Anh nói cứ để mặc chúng chết ở đó.
Story/Tangaroa/Voiceline/Ruben4_8;Text;;Captain Tulley and the ‘investors’ are still up in the tower. I say leave them there to rot.;Thuyền trưởng Tulley và 'đám chính trị gia' vẫn đang ở trên tháp. Anh nói cứ để mặc chúng chết ở đó.
Story/Tangaroa/Voiceline/Ruben5_1;Text;;The kid’s name is Detto.;"Đứa trẻ kia tên là Detto. "
Story/Tangaroa/Voiceline/Ruben5_2;Text;;How someone his age was able to reconstruct an engine like that I’ll never know, but now we’ve got the boat working.;Làm thế nào mà một đứa trẻ ở độ tuổi của nó lại có thể chế tạo một động cơ như vậy, dù sao thì bây giờ con thuyền đã hoạt động.
Story/Tangaroa/Voiceline/Ruben5_3;Text;;We’ll be gathering up a few more survivors before we head off.;Anh sẽ tập hợp thêm vài người sống sót trước khi khởi hành.
Story/Tangaroa/Voiceline/Ruben5_4;Text;;"The rafters either hid up in the apartments or left to sea. Most of them seemed sick. ";Những người di cư trốn trong các căn hộ hoặc bỏ ra biển. Hầu hết trong số họ có vẻ bị bệnh.
Story/Tangaroa/Voiceline/Ruben5_5;Text;;"No wonder they were so desperate. We need to hurry. ";Không có gì ngạc nhiên khi họ rất tuyệt vọng.
Story/Tangaroa/Voiceline/Ruben5_6;Text;;Those large rats that came with the rafters are aggressive.;Bọn anh cần phải nhanh lên. Những con chuột lớn kia rất hung dữ.
Story/Tangaroa/Voiceline/Ruben5_7;Text;;"I say let them chew Tangaroa into pieces. I’m coming for you, Hanne. ";Anh nói hãy để chúng nhai Tangaroa thành từng mảnh. Anh sẽ đến vì em, Hanne.
Story/Tangaroa/Voiceline/Ruben5_8;Text;;Remember the place we heard about? The sanctuary? We’ll meet there. I know it.;Nhớ nơi chúng ta đã nói với nhau chứ? Các khu bảo tồn? Chúng ta sẽ gặp nhau ở đó. Anh tin điều đó.
Story/Tangaroa/Voiceline/Ruben5_9;Text;;I’ll see you there. Utopia.;Anh sẽ gặp em ở đó. Utopia.
Story/Tangaroa/Voiceline/TulleyNote_1;Text;;My name is James Tulley. This is my final message.;"Tên tôi là James Tulley. Đây là thông điệp cuối cùng của tôi. "
Story/Tangaroa/Voiceline/TulleyNote_2;Text;;"Tangaroa City was built on a purely theoretical basis, using engines that had barely been tested, held together by the sweat and tears of our crew. ";Thành phố Tangaroa được xây dựng trên cơ sở lý thuyết thuần túy, sử dụng những động cơ hầu như chưa được thử nghiệm, được kết hợp bởi mồ hôi và nước mắt của cả phi hành đoàn chúng tôi.
Story/Tangaroa/Voiceline/TulleyNote_3;Text;;But we were never sustainable. I should have accepted that months ago.;Chúng tôi biết nó không mãi mãi bền vững. Lẽ ra tôi nên chấp nhận điều đó từ nhiều tháng trước.
Story/Tangaroa/Voiceline/TulleyNote_4;Text;;When the rafters arrived I could have let them starve with us. But I didn't.;Khi những người di cư đến, tôi có thể để họ chết đói với chúng tôi. Nhưng tôi đã không làm như vậy.
Story/Tangaroa/Voiceline/TulleyNote_5;Text;;The only right choice was to abandon Tangaroa to the waves.;Lựa chọn duy nhất là bỏ mặc Tangaroa cho đại dương nuốt chửng.
Story/Tangaroa/Voiceline/TulleyNote_6;Text;;Now I will stay here, trapped in the cockpit with two dozen idiots who used to run the world.;Bây giờ tôi sẽ ở lại đây, mắc kẹt trong buồng lái với hai chục tên ngốc đã từng điều hành thế giới.
Story/Tangaroa/Voiceline/TulleyNote_7;Text;;Don’t worry. We’ll pay for our sins before the end.;Đừng lo lắng. Chúng tôi sẽ trả giá cho tội lỗi của chúng tôi trước ngày tận thế.
Story/Temperance/Bruno1;Text;;"I’ve already lost MIRANDA. I will not lose you too, HENRY.

The two of us have followed a signal far south. I know it's from my sister. There’s no doubt. 

HENRY is skeptical. He thinks the cold will be dangerous. I'm more scared of whatever’s out there in the snowstorm…
~Bruno";"Tôi đã mất MIRANDA. Tôi sẽ không để mất cả anh đâu, HENRY.

Hai chúng tôi đã đi theo một tín hiệu xa về phía nam. Tôi biết đó là từ em gái tôi. Không còn nghi ngờ gì nữa.

HENRY hoài nghi. Anh ấy nghĩ rằng cái lạnh sẽ rất nguy hiểm. Trong cơn bão tuyết ngoài kia còn khiến tôi sợ nhiều thứ hơn.
~Bruno"
Story/Temperance/Bruno2;Text;;"There’s bears all over this frozen island!

One of them completely wrecked the boat when we tried to get away. None of the usual tricks worked either. HENRY and I would have been eaten if that boy with the airhorn hadn’t showed up. His name is Detto. Says he came here with some survivors.

I asked HENRY if I should trust the boy. But I didn’t get an answer.
~Bruno";"Lũ gấu có mặt trên khắp hòn đảo băng giá này!

Một trong số chúng đã làm hỏng hoàn toàn con thuyền khi chúng tôi cố gắng chạy trốn. Không có mẹo nào hữu ích cả.  HENRY và tôi sẽ bị ăn thịt nếu cậu bé cầm còi không xuất hiện. Tên cậu bé là Detto. Cậu ấy nói rằng đến đây với một số người sống sót khác.

Tôi hỏi HENRY liệu tôi có nên tin cậu bé không. Nhưng tôi không nhận được câu trả lời.
~Bruno"
Story/Temperance/Bruno3;Text;;"Detto showed me and HENRY some abandoned igloos. The boy got them open by fiddling with some cables? The big igloo is still shut though. I wonder what’s inside…

Detto introduced me to a man named Ruben. He was hurt. Looked like wounds from a bear attack, so I helped fix up the wounds. Astrid used to fix up my wounds the same way.

Where are you, sis?
~Bruno";"Detto cho tôi và HENRY xem mấy cái lều tuyết bị bỏ hoang. Cậu bé đã mở chúng bằng cách loay hoay với mấy sợi dây cáp? Tuy nhiên cái Lều lớn vẫn kín bưng. Tôi tự hỏi có gì bên trong…

Detto giới thiệu tôi với một người đàn ông tên là Ruben. Anh ấy đã bị thương. Trông giống như những vết thương do bị gấu tấn công, vì vậy tôi đã anh ấy giúp băng bó vết thương. Astrid đã từng chữa lành vết thương cho tôi theo cách tương tự.

Chị đang ở đâu?
~Bruno"
Story/Temperance/Bruno4;Text;;"That kid Detto is really smart. Using material we salvaged, he was able to fix up my boat. Ruben is recovering too, but... he doesn’t seem to want to talk to me a lot. Both of them stare whenever I talk to HENRY…?

HENRY doesn’t like the way they look at us. I think I need to do something.
~Bruno";"Đứa trẻ Detto đó thực sự rất thông minh. Sử dụng mấy vật liệu chúng tôi vớt được, cậu nhóc đã có thể sửa chữa thuyền của tôi. Ruben cũng đang hồi phục, nhưng... anh ấy có vẻ không muốn nói chuyện nhiều. Cả hai bọn họ đều nhìn chằm chằm bất cứ khi nào tôi nói chuyện với HENRY…?

HENRY không thích cách họ nhìn chúng tôi. Tôi nghĩ mình cần phải làm gì đó.
~Bruno"
Story/Temperance/Bruno5;Text;;"The boat is ready to go. Detto is ready with the airhorn, and Ruben can at least walk.

HENRY is staying behind. It’s bittersweet. He doesn’t speak with me anymore, but I think it’s safer for someone to stay behind. Detto says there’s a place with lots of people. Ruben says Astrid might be there. She definitely isn’t here, in this cold place.

It’s nice talking to people.
~Bruno";"Chiếc thuyền đã sẵn sàng rồi. Detto cũng đã nghịch xong với cái còi hơi của cậu ấy, và Ruben ít nhất đã có thể đi bộ.

HENRY đang ở phía sau. Buồn vui lẫn lộn. Anh ấy không nói chuyện với tôi nữa, nhưng tôi nghĩ có người ở lại sẽ an toàn hơn. Detto nói rằng có một nơi có rất nhiều người. Ruben nói Astrid cũng có thể ở đó. Cô ấy chắc chắn không có ở đây, ở cái nơi lạnh giá này.

Thật tuyệt khi được nói chuyện với mọi người.
~Bruno"
Story/Temperance/Sparrow1;Text;;"I am called Sparrow. Whoever finds this, know that I held humanity’s interest first. Always.

I was sent to Selene alongside two colleagues. One of which I discovered was a mole by the ‘investors’. Had Owl been allowed to come to Selene, the knowledge of this unlimited green energy would have been monopolized by the same people who caused this mess to begin with.

The other colleague… I left behind. I did not trust you, Cuckoo. I couldn’t. It was too much of a risk. I hope you will forgive me.
~Sparrow";"Tôi tên là Sparrow. Bất cứ ai tìm thấy cái này, hãy biết rằng tôi luôn đặt lợi ích của nhân loại lên hàng đầu. LUÔN LUÔN.

Tôi được gửi đến Selene cùng với hai đồng nghiệp. Một trong số đó đã phát hiện ra tôi là gián điệp của 'đám chính trị gia'. Nếu Owl được phép đến Selene, kiến thức về năng lượng xanh vĩnh cửu này sẽ bị độc quyền bởi chính những người đã gây ra mớ hỗn độn này.

Còn người đồng nghiệp khác… tôi đã bỏ lại phía sau. Tôi không thể tin anh, Cuckoo. Tôi không thể. Có quá nhiều rủi ro. Tôi hy vọng anh ấy sẽ tha thứ cho tôi.
~Sparrow"
Story/Temperance/Sparrow2;Text;;"The Selene facility was built for one purpose: master and perfect the experimental reactors used to power the floating cities. No easy task. But it has been done. In theory. Yet we do not have the people to construct anything but a basic prototype. It can be built for real, I know it! We just need more people.

There’s a place where the rafters live in peace with any survivors of the old world. They call it Utopia. Maybe there we can begin to reverse the damage we’ve done. But we received a message from them yesterday. One of the ‘investors’ has taken control of the community. Olof Wilkstrom. I fear his intentions with this potential Utopia.
~Sparrow";"Phòng thí nghiệm Selene này được xây dựng cho một mục đích: Làm chủ và hoàn thiện các lò phản ứng thử nghiệm, được sử dụng để cung cấp năng lượng cho các thành phố nổi. Tuy không phải nhiệm vụ dễ dàng gì. Nhưng nó đã được thực hiện. Về mặt lý thuyết. Tuy nhiên, chúng tôi không có đủ người để xây dựng bất cứ thứ gì ngoài một nguyên mẫu cơ bản. Nhưng nó có thể làm được thật, tôi biết điều đó! Chúng tôi chỉ cần thêm người thôi.

Có một nơi mà những người di cư trên bè có thể sống hòa bình tất cả mọi người sống sót khác trên toàn thế giới. Họ gọi nó là Utopia. Có lẽ ở đó chúng ta có thể bắt đầu xây dựng lại một thế giới mới. Nhưng ngày hôm qua chúng tôi đã nhận được một tin nhắn từ họ. Một trong những 'nhà đầu tư' đã nắm quyền kiểm soát cộng đồng. Olof Wilkstrom. Tôi sợ ý định của ông ta sẽ làm hại nơi Utopia tiềm năng này."
Story/Temperance/Voiceline/Bruno1_1;Text;;I’ve already lost MIRANDA. I will not lose you too, HENRY.;Tôi đã mất MIRANDA. Tôi sẽ không để mất cả anh đâu, HENRY.
Story/Temperance/Voiceline/Bruno1_2;Text;;"The two of us have followed a signal far south. I know it's from my sister. There’s no doubt. ";Hai chúng tôi đã đi theo một tín hiệu xa về phía nam. Tôi biết đó là từ em gái tôi. Không còn nghi ngờ gì nữa.
Story/Temperance/Voiceline/Bruno1_3;Text;;HENRY is skeptical. He thinks the cold will be dangerous.;HENRY hoài nghi. Anh ấy nghĩ rằng cái lạnh sẽ rất nguy hiểm.
